-487,-204,957,-9450,-35910,-38920,3
-394,-154,843,-8050,-52360,-52360,3
1997,-661,219,-231560,-220640,108710,3
130,-560,-121,229460,554890,-260120,3
-1961,54,452,-193060,-169750,5880,3
976,-673,143,-173460,-630560,273490,3
1997,-570,122,33320,91210,-35280,3
-1637,-77,-97,231840,563360,-291550,3
-1178,-82,483,-1540,-283080,197750,3
1997,-643,233,-146650,-306810,137410,3
1091,-791,333,150220,446740,-238630,3
-1998,288,231,-205870,-155610,140,3
36,-531,526,-134680,-411810,295540,3
1997,-538,284,44660,57120,-59920,3
-1932,-115,320,134610,347690,-267750,3
-1771,95,488,49910,-161490,98280,3
1094,-499,547,-194250,-342300,207900,3
1894,-512,101,128590,313530,-91840,3
-1859,33,299,156380,351610,-237510,3
-1559,-17,523,26110,-188300,193410,3
1987,-624,171,-238560,-420840,157290,3
1592,-751,140,147140,372540,-166950,3
-1998,118,486,-109130,115990,-125930,3
-814,-298,622,-52500,-328580,243250,3
1997,-911,337,-137200,-115710,70770,3
-888,-664,116,215670,451220,-325570,3
-1411,4,591,-36260,-199990,89740,3
1747,-654,156,-176470,-348250,225960,3
1825,-639,360,130060,248080,-77560,3
-1790,31,43,156030,409640,-254660,3
-1182,-93,595,27510,-154000,204330,3
1997,-783,523,-193060,-352450,143080,3
1161,-582,440,153930,298340,-197610,3
-1998,109,661,-139860,-17080,-71890,3
-550,-215,731,-40880,-296030,205660,3
1997,-591,76,-121310,-220920,18550,3
-71,-501,55,189140,530180,-249690,3
-1998,94,718,-143640,-92260,-43260,3
483,-543,679,-199430,-360920,283080,3
1997,-639,414,-7210,-43120,-26670,3
-563,-352,-61,248080,496370,-262990,3
-1502,-49,512,-119350,-186340,98490,3
1156,-761,621,-282870,-369950,233940,3
1997,-805,599,99680,128590,-89250,3
-1998,-2,324,137620,276920,-311150,3
-1166,-486,647,61740,-154210,303170,3
1997,-794,451,-53550,37870,-10010,3
-1922,-331,474,165620,297780,-319410,3
-1619,-86,341,71470,-125930,242480,3
1997,-968,493,-208950,-149100,64260,3
476,-641,582,113820,293160,-256270,3
-1998,202,347,1330,38430,-6440,3
929,-884,1129,-158270,-257460,300230,3
1796,-536,394,115080,202650,-92050,3
-1995,-103,852,42000,119630,-230720,3
-328,-535,722,-14140,-179200,276080,3
1997,-871,818,-112980,-52570,25970,3
-655,-432,343,127540,223930,-263340,3
-1860,108,560,45850,-79800,139580,3
1981,-721,828,-168840,-226800,204820,3
962,-590,757,69370,178990,-163170,3
-1985,-28,784,-36750,52220,-170450,3
78,-577,744,-88830,-217490,289520,3
1997,-655,768,-37730,-47810,13510,3
-728,-209,515,83650,198870,-194740,3
-1867,115,839,-6160,-26040,87290,3
1899,-736,727,-119140,-207900,188650,3
1253,-463,599,126280,144830,-143010,3
-1998,13,936,-81760,73220,-140630,3
404,-585,698,-64260,-179340,295960,3
1997,-650,614,30450,19040,-33740,3
-1172,-427,465,128940,236110,-270270,3
-1514,-72,813,-14280,-118510,64960,3
1978,-825,1096,-181020,-177240,172970,3
982,-548,847,110530,112000,-159180,3
-1998,151,685,-29820,-12810,-137060,3
-4,-530,1126,-34300,-142030,231280,3
1974,-465,514,15750,-4620,-59150,3
-1107,-296,1016,8890,87780,-261380,3
-1313,-166,916,35420,-109550,94010,3
1997,-780,809,-118930,-191380,156380,3
1180,-501,654,95900,150430,-169820,3
-1967,61,889,-120190,35000,-100310,3
-756,-241,608,17150,-128310,219800,3
1997,-559,584,-63980,-145320,38430,3
707,-542,597,113960,239400,-185430,3
-1910,188,752,-107030,9380,-36820,3
-414,-339,730,8820,-213920,244650,3
1997,-543,546,-39760,-52710,2590,3
-142,-507,552,95270,244300,-256200,3
-1988,158,741,-24010,-9940,-2380,3
737,-492,720,-50470,-227500,221830,3
1997,-483,582,44030,76090,-70210,3
-1615,-83,539,14980,174580,-250180,3
-1086,-153,909,34860,-124950,189000,3
1995,-777,578,-124880,-244650,155540,3
587,-713,514,168420,294350,-234920,3
-1998,200,737,-55650,62650,-29750,3
550,-760,980,-71960,-185290,284550,3
1833,-425,540,111510,125510,-105350,3
-1991,-66,801,-24010,120190,-198100,3
-831,-319,1022,31500,-157080,223720,3
1997,-463,349,-48580,-38290,7210,3
167,-149,404,115360,196420,-267820,3
-1468,-133,991,-13790,-76020,61740,3
608,-505,661,-99400,-230440,273420,3
1887,-556,657,97160,111440,-78540,3
-1201,-420,512,143430,229810,-299320,3
-955,-167,703,79030,-87920,199220,3
1902,-713,807,-192500,-234990,190470,3
1072,-623,688,124950,173110,-221620,3
-1963,32,833,-107590,37590,-70490,3
-788,-533,934,-53480,-170660,282450,3
1997,-736,622,-64540,-27510,-44870,3
-151,-462,416,97510,229250,-300230,3
-1998,134,653,25760,-53480,59220,3
998,-675,704,-78680,-232400,321790,3
1480,-771,653,129500,175630,-198380,3
-1998,169,612,-61740,161070,-193200,3
-539,-490,729,-5880,-147000,269850,3
1997,-700,348,-112420,-198380,73780,3
-468,-397,356,120610,287070,-301770,3
-1556,192,326,78050,-131040,172060,3
1997,-821,709,-163380,-328510,181370,3
397,-518,234,135310,340130,-242340,3
-1998,-31,686,-87220,-21980,28350,3
1386,-803,465,-152180,-368480,280910,3
1981,-764,637,94360,191870,-108150,3
-1998,218,518,-137550,82250,-143850,3
-412,-420,862,-2940,-144270,265580,3
1997,-676,473,33740,15330,-47390,3
-948,-272,684,76650,202650,-271740,3
-1573,139,390,55650,-110950,155960,3
1997,-778,693,-131600,-154350,144900,3
1140,-597,618,120260,208670,-184240,3
-1998,70,755,-129640,-44590,-90440,3
38,-514,846,-76650,-221760,278950,3
1997,-610,526,43050,11340,-37240,3
-530,-328,739,77910,190610,-247170,3
-1443,184,634,53410,-54740,149590,3
1679,-793,883,-120120,-188650,196000,3
1466,-628,487,96600,198800,-161210,3
-1998,-125,854,-136360,83930,-90300,3
-790,-237,961,-7980,-106540,234150,3
1997,-613,737,-120540,-196070,40670,3
627,-554,541,63630,242550,-166530,3
-1993,-115,990,-66080,-20370,3640,3
359,-326,766,-58940,-125090,215110,3
1720,-472,754,65310,77840,-47530,3
-441,-296,627,103670,181510,-209860,3
-1514,-64,798,16870,-96880,120330,3
1674,-681,719,-122290,-231560,175070,3
1148,-565,634,72870,155260,-139370,3
-1998,41,774,-78680,126770,-124040,3
-1003,-174,752,27230,-97370,209160,3
1997,-771,459,-123130,-206500,92190,3
655,-603,713,80850,177520,-226030,3
-1998,42,870,-84420,14280,-2590,3
-46,-491,710,-24360,-214830,269990,3
1997,-779,430,50400,77630,-22540,3
-201,-372,397,152670,264250,-241920,3
-1579,114,715,25060,-71190,105420,3
1013,-598,611,-120470,-240870,227570,3
1987,-695,517,80710,122640,-114940,3
-1998,-37,905,-62580,137410,-201670,3
-1240,-143,937,54180,-134820,170520,3
1997,-802,341,-141190,-225190,99890,3
1189,-676,671,106960,209090,-189980,3
-1998,126,550,-102690,138600,-151970,3
-584,-267,964,25900,-168910,241710,3
1997,-862,340,-154630,-145040,90230,3
422,-527,725,105140,215950,-252490,3
-1765,31,759,-17220,-56070,14980,3
608,-591,960,-104230,-182070,237020,3
1837,-518,524,103180,95270,-102970,3
-1324,-53,722,-4270,126840,-183190,3
-1176,-44,841,11830,-135520,93870,3
1938,-671,657,-103950,-185710,144550,3
1414,-442,415,88970,160230,-108640,3
-1745,-56,1200,-55020,60200,-118090,3
-290,-210,797,-8470,-111580,196560,3
1997,-754,745,-35910,-53340,-8540,3
-16,-408,716,68670,139020,-196210,3
-1906,132,1054,-700,-1120,21840,3
1104,-659,873,-67970,-104370,243950,3
1389,-459,606,110740,111160,-116060,3
-1983,-120,1252,-71470,29330,-136010,3
-424,-198,854,31360,-117740,186060,3
1997,-687,725,-44450,-66290,15890,3
-153,-361,784,103810,145670,-223790,3
-1478,22,894,5810,-44590,53550,3
325,-384,601,-56560,-154000,252980,3
1657,-598,521,149660,151270,-117250,3
-1021,-191,913,4340,79870,-216020,3
-1144,52,813,28140,-61600,107800,3
1277,-499,705,-81970,-166950,191660,3
1388,-508,579,105910,147280,-126210,3
-1557,-52,1049,-33250,29750,-136990,3
-722,-147,730,980,-89810,189910,3
1982,-739,925,-113470,-69580,78470,3
1055,-526,635,89600,154000,-166880,3
-1998,-27,1038,-112560,-49490,-50400,3
61,-426,913,-39480,-135730,246400,3
1997,-658,615,-9380,3500,-7210,3
-68,-312,600,120750,224000,-228270,3
-1038,31,892,39760,-22050,46200,3
173,-388,697,-55440,-147910,247450,3
1679,-621,681,110390,106890,-89530,3
-1855,23,778,-39550,123480,-168070,3
-863,-160,760,36890,-104440,197540,3
1997,-947,834,-144970,-119140,61670,3
684,-503,636,110040,173810,-225750,3
-1360,53,815,-50120,72660,-22260,3
-539,-278,604,-140,-150430,263340,3
1997,-764,898,-39410,-30660,-10290,3
-399,-397,589,106890,198450,-259140,3
-1779,131,965,12950,-210,-32900,3
727,-618,645,-80360,-242060,265930,3
1991,-588,552,73990,92400,-60550,3
-1376,-155,827,8330,175420,-203420,3
